Sigla;Nome;Car†ter;Qualis
CTW;Cologne-Twente Workshop on graphs and combinatorial optimization;;B4
CVPR;IEEE Conference on Computer Vision and Pattern Recognition;INTERNACIONAL;A1
CyberGames;International Conference on Games Research and Development;INTERNACIONAL;B5
DAARC;Discourse Anaphora and Anaphor Resolution Colloquium;INTERNACIONAL;B4
DAC;Design Automation Conference;INTERNACIONAL;A1
DAFX;International Conference on Digital Audio Effects;;B2
DAIS;IFIP International Conference on Distributed Applications and Interoperable Systems;INTERNACIONAL;B2
DALT;International Workshop on Declarative Agent Languages and Technologies;INTERNACIONAL;B4
DARS;International Symposium on Distributed Autonomous Robotic Systems;INTERNACIONAL;B1
DAS;International Workshop on Document Analysis Systems;INTERNACIONAL;B1
DASC;IEEE International Symposium on Dependable, Autonomic and Secure Computing;;B3
DASD;Design Analysis and Simulation of Distributed Systems Symposium;INTERNACIONAL;B4
DASFAA;International Conference on Database Systems for Advanced Applications;INTERNACIONAL;B1
DASWIS;International Workshop on Data Semantics in Web Information Systems;INTERNACIONAL;
DATE;Design, Automation and Test in Europe Conference and Exhibition;INTERNACIONAL;A1
DaWaK;International Conference on Data Warehousing and Knowledge Discovery;INTERNACIONAL;B1
DB&IS;International Baltic Conference on Databases and Information Systems;;B5
DBISP2P;International Workshop on Databases Information Systems and Peer-to-Peer Computing;INTERNACIONAL;B4
DBKDA;International Conference on Advances in Databases, Knowledge, and Data Applications;;B4
DBPL;International Symposium on Database Programming;INTERNACIONAL;B2
DBTA;International Workshop on Database Technology and Applications;;B4
DCAI;International Conference on Distributed Computing and Artificial Intelligence;;B4
DCC;Data Compression Conference;INTERNACIONAL;A2
DCCS;Dependable Computing and Communications Symposium;INTERNACIONAL;B5
DCW;Workshop on Distributed Communities on the Web;INTERNACIONAL;B3
DDECS;IEEE Workshop on Design and Diagnostics of Electronic Circuits and Systems;INTERNACIONAL;B3
DEBS;International Conference on Distributed Event-Based Systems;;B2
DeLFI;"Fachtagung ""e-Learning"" der Gesellschaft fÅr Informatik";;B4
DENVECT;IEEE International Workshop on Digital Entertainment, Networked Virtual Environments, and Creative Technology;;B5
DEON;International Workshop on Deontic Logic in Computer Science;INTERNACIONAL;B3
DepCoS-RELCOMEX;International Conference on Dependability of Computer Systems;;B3
DEPEND;International Conference on Dependability;;B4
DesignCon;Design Conference;;B3
DEXA;International Conference on Database and Expert Systems Applications;INTERNACIONAL;B1
DFT;IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems;;B1
DGCI;Digital Geometry for Computer Imagery;INTERNACIONAL;B2
DGO;International Conference on Digital Government Research;INTERNACIONAL;B1
DICTAP;International Conference on Digital Information and Communication Technology and Its Applications;;B5
DIGITEL;IEEE International Conference on Digital Game and Intelligent Toy Enhanced Learning;;B3
DIGRA;Digital Games Research Conference;INTERNACIONAL;B2
DIMVA;GI International Conference on Detection of Intrusions and Malware and Vulnerability Asessment;INTERNACIONAL;B1
DIPES;IFIP Working Conference on Distributed and Parallel Embedded Systems;INTERNACIONAL;B3
